"","Date","Pool","Number of Blocks","Percentage of Blocks"
"600",2010-09-01,"Unknown",184,100
"601",2010-09-02,"Unknown",157,100
"602",2010-09-03,"Unknown",156,100
"603",2010-09-04,"Unknown",164,100
"604",2010-09-05,"Unknown",181,100
"605",2010-09-06,"Unknown",165,100
"606",2010-09-07,"Unknown",158,100
"607",2010-09-08,"Unknown",160,100
"608",2010-09-09,"Unknown",165,100
"609",2010-09-10,"Unknown",135,100
"610",2010-09-11,"Unknown",177,100
"611",2010-09-12,"Unknown",160,100
"612",2010-09-13,"Unknown",177,100
"613",2010-09-14,"Unknown",171,100
"614",2010-09-15,"Unknown",203,100
"615",2010-09-16,"Unknown",169,100
"616",2010-09-17,"Unknown",219,100
"617",2010-09-18,"Unknown",208,100
"618",2010-09-19,"Unknown",237,100
"619",2010-09-20,"Unknown",209,100
"620",2010-09-21,"Unknown",203,100
"621",2010-09-22,"Unknown",172,100
"622",2010-09-23,"Unknown",174,100
"623",2010-09-24,"Unknown",234,100
"624",2010-09-25,"Unknown",228,100
"625",2010-09-26,"Unknown",207,100
"626",2010-09-27,"Unknown",205,100
"627",2010-09-28,"Unknown",229,100
"628",2010-09-29,"Unknown",212,100
"629",2010-09-30,"Unknown",164,100
"630",2010-10-01,"Unknown",146,100
"631",2010-10-02,"Unknown",154,100
"632",2010-10-03,"Unknown",100,100
"633",2010-10-04,"Unknown",122,100
"634",2010-10-05,"Unknown",153,100
"635",2010-10-06,"Unknown",126,100
"636",2010-10-07,"Unknown",171,100
"637",2010-10-08,"Unknown",160,100
"638",2010-10-09,"Unknown",154,100
"639",2010-10-10,"Unknown",158,100
"640",2010-10-11,"Unknown",178,100
"641",2010-10-12,"Unknown",159,100
"642",2010-10-13,"Unknown",155,100
"643",2010-10-14,"Unknown",176,100
"644",2010-10-15,"Unknown",205,100
"645",2010-10-16,"Unknown",177,100
"646",2010-10-17,"Unknown",258,100
"647",2010-10-18,"Unknown",270,100
"648",2010-10-19,"Unknown",249,100
"649",2010-10-20,"Unknown",256,100
"650",2010-10-21,"Unknown",264,100
"651",2010-10-22,"Unknown",186,100
"652",2010-10-23,"Unknown",154,100
"653",2010-10-24,"Unknown",175,100
"654",2010-10-25,"Unknown",205,100
"655",2010-10-26,"Unknown",203,100
"656",2010-10-27,"Unknown",241,100
"657",2010-10-28,"Unknown",213,100
"658",2010-10-29,"Unknown",219,100
"659",2010-10-30,"Unknown",223,100
"660",2010-10-31,"Unknown",252,100
"661",2010-11-01,"Unknown",179,100
"662",2010-11-02,"Unknown",177,100
"663",2010-11-03,"Unknown",176,100
"664",2010-11-04,"Unknown",190,100
"665",2010-11-05,"Unknown",201,100
"666",2010-11-06,"Unknown",219,100
"667",2010-11-07,"Unknown",218,100
"668",2010-11-08,"Unknown",241,100
"669",2010-11-09,"Unknown",275,100
"670",2010-11-10,"Unknown",217,100
"671",2010-11-11,"Unknown",203,100
"672",2010-11-12,"Unknown",219,100
"673",2010-11-13,"Unknown",169,100
"674",2010-11-14,"Unknown",223,100
"675",2010-11-15,"Unknown",256,100
"676",2010-11-16,"Unknown",200,100
"677",2010-11-17,"Unknown",197,100
"678",2010-11-18,"Unknown",247,100
"679",2010-11-19,"Unknown",257,100
"680",2010-11-20,"Unknown",150,100
"681",2010-11-21,"Unknown",116,100
"682",2010-11-22,"Unknown",140,100
"683",2010-11-23,"Unknown",163,100
"684",2010-11-24,"Unknown",140,100
"685",2010-11-25,"Unknown",177,100
"686",2010-11-26,"Unknown",181,100
"687",2010-11-27,"Unknown",194,100
"688",2010-11-28,"Unknown",180,100
"689",2010-11-29,"Unknown",172,100
"690",2010-11-30,"Unknown",209,100
